TimeStamp,Server,ResponseTimeMs
21.09.2022 18:55:13,Server_003,49
21.09.2022 18:53:19,Server_003,67
21.09.2022 18:53:44,Server_004,14
21.09.2022 18:11:10,Server_009,45
21.09.2022 18:40:40,Server_009,44
21.09.2022 18:23:41,Server_007,38
21.09.2022 18:56:19,Server_006,71
21.09.2022 18:33:57,Server_007,21
21.09.2022 18:24:07,Server_009,32
21.09.2022 18:52:27,Server_001,37
21.09.2022 18:31:24,Server_001,52
21.09.2022 18:01:21,Server_005,64
21.09.2022 18:36:42,Server_003,66
21.09.2022 18:24:36,Server_001,56
21.09.2022 18:13:29,Server_002,35
21.09.2022 18:14:24,Server_002,7
21.09.2022 18:36:15,Server_009,18
21.09.2022 18:50:48,Server_001,95
21.09.2022 18:12:09,Server_005,80
21.09.2022 18:43:02,Server_010,50
21.09.2022 18:48:31,Server_001,13
21.09.2022 18:10:25,Server_007,6
21.09.2022 18:46:47,Server_004,24
21.09.2022 18:24:45,Server_008,66
21.09.2022 18:15:36,Server_003,66
21.09.2022 18:34:18,Server_008,44
21.09.2022 18:42:22,Server_004,94
21.09.2022 18:02:33,Server_002,85
21.09.2022 18:36:21,Server_004,91
21.09.2022 18:46:51,Server_009,69
21.09.2022 18:47:54,Server_005,54
21.09.2022 18:27:36,Server_003,28
21.09.2022 18:40:47,Server_010,40
21.09.2022 18:09:33,Server_006,53
21.09.2022 18:42:29,Server_009,93
21.09.2022 18:20:10,Server_002,1
21.09.2022 18:01:05,Server_005,43
21.09.2022 18:51:47,Server_007,12
21.09.2022 18:46:36,Server_005,48
21.09.2022 18:02:29,Server_005,35
21.09.2022 18:02:22,Server_001,48
21.09.2022 18:33:24,Server_001,65
21.09.2022 18:53:47,Server_001,63
21.09.2022 18:43:08,Server_002,2
21.09.2022 18:10:21,Server_009,88
21.09.2022 18:33:41,Server_009,98
21.09.2022 18:39:54,Server_009,26
21.09.2022 18:35:07,Server_006,24
21.09.2022 18:08:50,Server_001,22
21.09.2022 18:19:40,Server_010,91
21.09.2022 18:45:52,Server_004,10
21.09.2022 18:54:52,Server_004,55
21.09.2022 18:35:38,Server_010,64
21.09.2022 18:57:39,Server_008,35
21.09.2022 18:54:48,Server_007,40
21.09.2022 18:21:47,Server_002,95
21.09.2022 18:08:05,Server_009,66
21.09.2022 18:26:38,Server_009,35
21.09.2022 18:45:56,Server_002,58
21.09.2022 18:12:13,Server_006,38
21.09.2022 18:17:50,Server_003,86
21.09.2022 18:05:37,Server_008,84
21.09.2022 18:24:35,Server_004,23
21.09.2022 18:04:46,Server_005,68
21.09.2022 18:52:59,Server_007,18
21.09.2022 18:30:46,Server_004,100
21.09.2022 18:03:24,Server_008,19
21.09.2022 18:31:41,Server_008,3
21.09.2022 18:31:59,Server_008,35
21.09.2022 18:49:02,Server_009,76
21.09.2022 18:20:08,Server_005,5
21.09.2022 18:20:12,Server_008,3
21.09.2022 18:27:14,Server_006,49
21.09.2022 18:41:10,Server_006,19
21.09.2022 18:42:54,Server_006,11
21.09.2022 18:03:12,Server_001,74
21.09.2022 18:26:57,Server_007,73
21.09.2022 18:58:31,Server_001,42
21.09.2022 18:16:04,Server_006,59
21.09.2022 18:13:25,Server_001,58
21.09.2022 18:42:10,Server_004,51
21.09.2022 18:46:38,Server_010,32
21.09.2022 18:53:39,Server_002,72
21.09.2022 18:39:36,Server_008,27
21.09.2022 18:37:15,Server_010,79
21.09.2022 18:14:52,Server_007,15
21.09.2022 18:32:17,Server_008,28
21.09.2022 18:10:32,Server_009,5
21.09.2022 18:55:29,Server_001,73
21.09.2022 18:25:23,Server_007,29
21.09.2022 18:16:54,Server_009,51
21.09.2022 18:46:47,Server_002,85
21.09.2022 18:30:31,Server_002,76
21.09.2022 18:39:43,Server_004,59
21.09.2022 18:24:32,Server_001,18
21.09.2022 18:38:37,Server_006,84
21.09.2022 18:32:24,Server_007,74
21.09.2022 18:13:18,Server_005,75
21.09.2022 18:24:29,Server_010,11
21.09.2022 18:22:17,Server_006,13
21.09.2022 18:02:36,Server_001,49
21.09.2022 18:59:39,Server_006,84
21.09.2022 18:40:58,Server_008,100
21.09.2022 18:45:32,Server_004,76
21.09.2022 18:38:45,Server_010,5
21.09.2022 18:34:22,Server_007,22
21.09.2022 18:36:49,Server_005,62
21.09.2022 18:45:29,Server_008,65
21.09.2022 18:46:04,Server_005,68
21.09.2022 18:21:15,Server_005,80
21.09.2022 18:24:13,Server_007,88
21.09.2022 18:58:57,Server_007,100
21.09.2022 18:11:36,Server_001,73
21.09.2022 18:03:12,Server_008,9
21.09.2022 18:01:21,Server_004,49
21.09.2022 18:29:12,Server_009,2
21.09.2022 18:30:37,Server_003,40
21.09.2022 18:50:16,Server_001,30
21.09.2022 18:43:23,Server_002,53
21.09.2022 18:44:35,Server_010,60
21.09.2022 18:19:36,Server_004,44
21.09.2022 18:27:51,Server_007,31
21.09.2022 18:16:27,Server_004,19
21.09.2022 18:27:08,Server_010,31
21.09.2022 18:35:43,Server_005,20
21.09.2022 18:39:20,Server_009,39
21.09.2022 18:07:46,Server_002,49
