Ort;Plz;Vorwahl;Bundesland
Aach;54298;0651;Rheinland-Pfalz
Aach;78267;07774;Baden-Württemberg
Aachen;52062;0241;Nordrhein-Westfalen
Aachen;52064;0241;Nordrhein-Westfalen
Aachen;52066;0241;Nordrhein-Westfalen
Aachen;52068;0241;Nordrhein-Westfalen
Aachen;52070;0241;Nordrhein-Westfalen
Aachen;52072;0241;Nordrhein-Westfalen
Aachen;52074;0241;Nordrhein-Westfalen
Aachen;52076;0241;Nordrhein-Westfalen
Aachen;52078;0241;Nordrhein-Westfalen
Aachen;52080;0241;Nordrhein-Westfalen
Aalen;73430;07361;Baden-Württemberg
Aalen;73431;07361;Baden-Württemberg
Aalen;73432;07361;Baden-Württemberg
Aalen;73433;07361;Baden-Württemberg
Aalen;73434;07361;Baden-Württemberg
Aarbergen;65326;06120;Hessen
Aasbüttel;25560;04892;Schlewig-Holstein
Abbau Ader;29416;;Sachsen-Anhalt
Abbendorf;19322;038791;Brandenburg
Abbenrode;38871;039452;Sachsen-Anhalt
Abberode;06543;034779;Sachsen-Anhalt
Abenberg;91183;09178;Bayern
Abend;01623;035246;Sachsen
Abensberg;93326;09443;Bayern
Abentheuer;55767;06782;Rheinland-Pfalz
Abraham;94036;;Bayern
Absberg;91720;09175;Bayern
Abstatt;74232;07062;Baden-Württemberg
Abtlöbnitz;06628;034466;Sachsen-Anhalt
Abtsbessingen;99713;036020;Thüringen
Abtsdorf;06888;03491;Sachsen-Anhalt
Abtsgmünd;73453;07366;Baden-Württemberg
Abtsteinach;69518;06207;Hessen
Abtswind;97355;09383;Bayern
Abtweiler;55568;06753;Rheinland-Pfalz
Achberg;88147;08380;Baden-Württemberg
Achen;83552;08075;Bayern
Achern;77855;07841;Baden-Württemberg
Achim;28832;04202;Niedersachsen
Achim;38312;05334;Niedersachsen
Achslach;94250;09929;Bayern
Achstetten;88480;07392;Baden-Württemberg
Acht;56729;02656;Rheinland-Pfalz
Achtelsbach;55767;06782;Rheinland-Pfalz
Achterspannerhof;56299;;Rheinland-Pfalz
Achterwehr;24239;04340;Schlewig-Holstein
Achtrup;25917;04662;Schlewig-Holstein
Ackendorf;39343;039202;Sachsen-Anhalt
Ackermannshof;16259;033451;Brandenburg
Adamshoffnung;17213;039932;Mecklenburg-Vorpommern
Addebüll;25842;04672;Schlewig-Holstein
Adelberg;73099;07166;Baden-Württemberg
Adelebsen;37139;05506;Niedersachsen
Adelhausen;98646;03685;Thüringen
Adelheidsdorf;29352;05085;Niedersachsen
Adelmannsfelden;73486;07963;Baden-Württemberg
Adelschlag;85111;08421;Bayern
Adelsdorf;01561;03522;Sachsen
Adelsdorf;91325;09195;Bayern
Adelsheim;74740;06291;Baden-Württemberg
Adelshofen;82276;08146;Bayern
Adelshofen;91587;09865;Bayern
Adelsried;86477;08294;Bayern
Adelzhausen;86559;08258;Bayern
Adenau;53518;02691;Rheinland-Pfalz
Adenbach;67742;06753;Rheinland-Pfalz
Adenbüttel;38528;05304;Niedersachsen
Adendorf;21365;04131;Niedersachsen
Adenstedt;31079;05060;Niedersachsen
Aderstedt;06408;03471;Sachsen-Anhalt
Aderstedt;38838;039428;Sachsen-Anhalt
Adlersteige;73479;07961;Baden-Württemberg
Adligstadt;83364;08666;Bayern
Adlkofen;84166;08707;Bayern
Adlkofen;84166;08707;Bayern
Admannshagen-Bargeshagen;18211;038203;Mecklenburg-Vorpommern
Adorf;08626;037423;Sachsen
Aebtissinwisch;25572;04825;Schlewig-Holstein
Aerzen;31855;05154;Niedersachsen
Affalterbach;71563;07144;Baden-Württemberg
Affing;86444;08207;Bayern
Affinghausen;27257;04247;Niedersachsen
Affler;54689;06524;Rheinland-Pfalz
Aftholderbach;56355;06772;Rheinland-Pfalz
Agathenburg;21684;04141;Niedersachsen
Agethorst;25560;04892;Schlewig-Holstein
Aglasterhausen;74858;06262;Baden-Württemberg
Aham;84168;08744;Bayern
Ahaus;48683;02561;Nordrhein-Westfalen
Ahausen;27367;04269;Niedersachsen
Ahlbeck;17375;039775;Mecklenburg-Vorpommern
Ahlden;29693;05164;Niedersachsen
Ahlefeld;24811;04353;Schlewig-Holstein
Ahlen;59227;02382;Nordrhein-Westfalen
Ahlen;59229;02382;Nordrhein-Westfalen
Ahlerstedt;21702;04166;Niedersachsen
Ahlsdorf;04916;035362;Brandenburg
Ahlsdorf;06313;034772;Sachsen-Anhalt
Ahlstädt;98553;036873;Thüringen
Ahlum;38489;039007;Sachsen-Anhalt
Ahnatal;34292;05609;Hessen
Ahneby;24996;04637;Schlewig-Holstein
Ahnsbeck;29353;05145;Niedersachsen
Ahnsen;31708;05722;Niedersachsen
Aholfing;94345;09429;Bayern
Aholming;94527;09938;Bayern
Ahorn;74744;06296;Baden-Württemberg
Ahorn;96482;09561;Bayern
Ahorntal;95491;09202;Bayern
Ahrain;83739;08025;Bayern
Ahrbrück;53506;02643;Rheinland-Pfalz
Ahrensbök;23623;04525;Schlewig-Holstein
Ahrensburg;22926;04102;Schlewig-Holstein
Ahrensdorf;14974;03378;Brandenburg
Ahrensdorf;15864;033677;Brandenburg
Ahrensfelde;16356;030;Brandenburg
Ahrenshagen;18320;038225;Mecklenburg-Vorpommern
Ahrenshöft;25853;04846;Schlewig-Holstein
Ahrenstedt;24787;;Schlewig-Holstein
Ahrenviöl;25885;04847;Schlewig-Holstein
Ahrenviölfeld;25885;04626;Schlewig-Holstein
Aicha;94529;08544;Bayern
Aichach;86551;08251;Bayern
Aichat;83565;08092;Bayern
Aichberg;83329;08681;Bayern
Aichelberg;73101;07164;Baden-Württemberg
Aichen;86479;08284;Bayern
Aichhalden;78733;07422;Baden-Württemberg
Aichstetten;88317;07565;Baden-Württemberg
Aichtal;72631;07127;Baden-Württemberg
Aichwald;73773;0711;Baden-Württemberg
Aichwies;83329;08681;Bayern
Aidenbach;94501;08543;Bayern
Aidhausen;97491;09526;Bayern
Aidlingen;71134;07034;Baden-Württemberg
Aiglsbach;84089;08753;Bayern
Ailertchen;56459;02663;Rheinland-Pfalz
Aindling;86447;08237;Bayern
Ainring;83404;08654;Bayern
Aislingen;89344;09075;Bayern
Aiterhofen;94330;09421;Bayern
Aitern;79677;07673;Baden-Württemberg
Aiteröd;84137;08741;Bayern
Aitrach;88319;07565;Baden-Württemberg
Aitrang;87648;08343;Bayern
Aitzendorf;09326;037382;Sachsen
Aken;06385;034909;Sachsen-Anhalt
Alach;99100;0361;Thüringen
Alach;99100;0361;Thüringen
Albaching;83544;08076;Bayern
Albbruck;79774;07753;Baden-Württemberg
Albernhof;93449;09978;Bayern
Albersdorf;07646;036692;Thüringen
Albersdorf;25767;04835;Schlewig-Holstein
Albershausen;73095;07161;Baden-Württemberg
Albersroda;06268;034632;Sachsen-Anhalt
Alberstedt;06279;034774;Sachsen-Anhalt
Albersweiler;76857;06345;Rheinland-Pfalz
Alberthofen;57614;02684;Rheinland-Pfalz
Albertinenhof;16818;033925;Brandenburg
Albertinenhof;19260;038848;Mecklenburg-Vorpommern
Albertshofen;97320;09321;Bayern
Albessen;66871;06384;Rheinland-Pfalz
Albig;55234;06731;Rheinland-Pfalz
Albisheim;67308;06355;Rheinland-Pfalz
Albrechts;98529;03681;Thüringen
Albrechts;98529;03681;Thüringen
Albrechtshof;17291;039862;Brandenburg
Albsfelde;23909;04541;Schlewig-Holstein
Albstadt;72458;07432;Baden-Württemberg
Albstadt;72459;07432;Baden-Württemberg
Albstadt;72461;07432;Baden-Württemberg
Aldenhoven;52457;02464;Nordrhein-Westfalen
Aldersbach;94501;08543;Bayern
Aldingen;78554;07424;Baden-Württemberg
Alerheim;86733;09085;Bayern
Alesheim;91793;09146;Bayern
Aletshausen;86480;08282;Bayern
Alf;56859;06542;Rheinland-Pfalz
